Year,Load,Biomass < 25 MW,Biomass > 25 MW,Geothermal,Existing Hydroelectric,New Hydroelectric,Existing Methane Gas,New Methane Gas,Solar Photovoltaic,Solar Thermal,Wind,Class I Net-Metering Reduction,Class II Net-Metering Reduction,Class I P,Class II P,Class III P,Class IV P,Class I Non-Thermal S,Class I Thermal S,Class II S,Class III S,Class IV S,Class I Price,Class II Price,Class III Price,Class IV Price
2008,10900000,100000,150000,0,51000,70000,50000,10000,500,0,60000,0.00%,0,0,0,0.035,0.0005,0.00,0.00,0.00,0.04,0.0005,0.00,0.00,0.00,0.00
2009,11000000,410000,220000,0,61000,60000,250000,11000,2500,0,180000,0.00%,0,0.005,0,0.035,0.01,0.01,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00
2010,11200000,580000,200000,0,73000,60000,320000,10000,5500,0,200000,0.00%,0,0.01,0.0004,0.035,0.01,0.01,0.00,0.00,0.06,0.01,0.00,0.00,0.00,0.00
2011,11000000,440000,220000,0,100000,80000,230000,15000,8100,0,180000,0.00%,0,0.02,0.0008,0.035,0.01,0.02,0.00,0.00,0.07,0.01,0.00,0.00,0.00,0.00
2012,11100000,440000,230000,0,120000,80000,200000,15000,10100,0,220000,0.0061%,0.00075,0.03,0.0015,0.035,0.01,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00
2013,10800000,420000,190000,0,170000,60000,220000,16000,11300,0,230000,0.0063%,0.000914,0.038,0.002,0.035,0.013,0.04,0.00,0.00,0.02,0.013,0.00,0.00,0.00,0.00
2014,10900000,550000,210000,3000,174000,70000,350000,11000,4100,7000,250000,0.0065%,0.001385,0.05,0.003,0.035,0.014,0.05,0.00,0.00,0.03,0.014,0.00,0.00,0.00,0.00
2015,11100000,640000,220000,5000,155000,80000,360000,20000,7000,12000,270000,0.0062%,0.001784,0.06,0.003,0.035,0.015,0.05,0.01,0.00,0.08,0.015,0.00,0.00,0.00,0.00
2016,11300000,620000,260000,22000,140000,100000,300000,15000,17000,37000,380000,0.0047%,0.002484,0.06,0.003,0.035,0.015,0.06,0.01,0.00,0.08,0.015,0.00,0.00,0.00,0.00
2017,11400000,730000,250000,35000,160000,90000,380000,12000,37000,69000,480000,0.0052%,0.004026,0.06,0.003,0.035,0.015,0.07,0.01,0.00,0.08,0.015,0.00,0.00,0.00,0.00
2018,11300000,680000,260000,42000,185000,90000,310000,20000,89000,81000,560000,0.0050%,0.004673,0.06,0.003,0.035,0.015,0.08,0.01,0.01,0.08,0.015,0.00,0.00,0.00,0.00
2019,11500000,520000,200000,51000,180000,100000,310000,15000,157000,111000,610000,0.0054%,0.004794,0.06,0.003,0.035,0.015,0.08,0.01,0.01,0.08,0.015,0.00,0.00,0.00,0.00
2020,11100000,510000,190000,63000,154000,120000,230000,25000,255000,128000,660000,0.0060%,0.005584,0.06,0.003,0.035,0.015,0.09,0.01,0.01,0.08,0.015,0.00,0.00,0.00,0.00
2021,11200000,500000,180000,65000,168000,100000,200000,20000,397000,133000,740000,0.0058%,0.004752,0.06,0.003,0.035,0.015,0.10,0.02,0.01,0.08,0.015,0.00,0.00,0.00,0.00
2022,11155551,500000,160000,70000,160000,95000,240000,30000,423000,140000,770000,0.0058%,0.004752,0.06,0.003,0.035,0.015,0.10,0.02,0.01,0.08,0.015,37.25,34.00,37.50,27.75
2023,11166783,520000,200000,79000,159000,90000,230000,33000,450000,146000,800000,0.0058%,0.004752,0.06,0.003,0.035,0.015,0.11,0.02,0.01,0.08,0.015,38.13,34.50,37.25,28.00
2024,11169501,500000,250000,82000,162000,100000,260000,35000,472000,153000,850000,0.0058%,0.004752,0.06,0.003,0.035,0.015,0.12,0.02,0.01,0.08,0.015,36.50,34.10,36.50,28.50
2025,11151265,490000,250000,90000,167000,110000,210000,40000,500000,165000,910000,0.0058%,0.004752,0.06,0.003,0.035,0.015,0.13,0.02,0.01,0.08,0.015,36.00,33.75,36.00,28.50
2026,11160479,480000,240000,98000,161000,105000,280000,38000,550000,172000,1010000,0.0058%,0.004752,0.06,0.003,0.035,0.015,0.13,0.02,0.01,0.08,0.015,34.00,33.00,34.00,28.50
,,,,,,,,,,,,,,,,,,,,,,,,,,
